Symbol,Name of company,Series,Date of listing,Face value
VISHWARAJ,Vishwaraj Sugar Industries Limited,EQ,15-OCT-2019,2
VLSFINANCE,VLS Finance Limited,EQ,25-MAY-1995,10
VMART,V-Mart Retail Limited,EQ,20-FEB-2013,10
VOLTAMP,Voltamp Transformers Limited,EQ,20-SEP-2006,10
VOLTAS,Voltas Limited,EQ,12-APR-1995,1
VPRPL,Vishnu Prakash R Punglia Limited,EQ,05-SEP-2023,10
VRLLOG,VRL Logistics Limited,EQ,30-APR-2015,10
VSSL,Vardhman Special Steels Limited,EQ,17-MAY-2012,10
VSTIND,VST Industries Limited,EQ,05-SEP-2003,10
VSTTILLERS,V.S.T Tillers Tractors Limited,EQ,20-JUN-2011,10
VTL,Vardhman Textiles Limited,EQ,14-JAN-2003,2
WABAG,VA Tech Wabag Limited,EQ,13-OCT-2010,2
WELCORP,Welspun Corp Limited,EQ,24-MAY-2005,5
WELENT,Welspun Enterprises Limited,EQ,04-NOV-2004,10
WELSPUNLIV,Welspun Living Limited,EQ,04-DEC-2003,1
WENDT,Wendt (India) Limited,EQ,07-AUG-2006,10
WESTLIFE,WESTLIFE FOODWORLD LIMITED,EQ,05-JUN-2023,2
WHEELS,Wheels India Limited,EQ,07-APR-2000,10
WHIRLPOOL,Whirlpool of India Limited,EQ,06-APR-2010,10
WINDLAS,Windlas Biotech Limited,EQ,16-AUG-2021,5
WIPRO,Wipro Limited,EQ,08-NOV-1995,2
WONDERLA,Wonderla Holidays Limited,EQ,09-MAY-2014,10
WORTH,Worth Peripherals Limited,EQ,04-AUG-2020,10
WSTCSTPAPR,West Coast Paper Mills Limited,EQ,17-JAN-2001,2
XCHANGING,Xchanging Solutions Limited,EQ,09-MAR-2005,10
XPROINDIA,Xpro India Limited,EQ,27-APR-2004,10
YASHO,Yasho Industries Limited,EQ,21-AUG-2023,10
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,EQ,07-AUG-2023,10
YESBANK,Yes Bank Limited,EQ,12-JUL-2005,2
YUKEN,Yuken India Limited,EQ,02-SEP-2021,10
ZAGGLE,Zaggle Prepaid Ocean Services Limited,EQ,22-SEP-2023,1
ZEEL,Zee Entertainment Enterprises Limited,EQ,09-SEP-1998,1
ZEEMEDIA,Zee Media Corporation Limited,EQ,10-JAN-2007,1
ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,2
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,EQ,01-OCT-2008,5
ZIMLAB,Zim Laboratories Limited,EQ,25-NOV-2022,10
ZOMATO,Zomato Limited,EQ,23-JUL-2021,1
ZOTA,Zota Health Care LImited,EQ,19-AUG-2019,10
ZUARI,Zuari Agro Chemicals Limited,EQ,27-NOV-2012,10
ZUARIIND,ZUARI INDUSTRIES LIMITED,EQ,12-APR-1995,10
ZYDUSLIFE,Zydus Lifesciences Limited,EQ,18-APR-2000,1
ZYDUSWELL,Zydus Wellness Limited,EQ,13-NOV-2009,10
