Symbol,Name of company,Series,Date of listing,Face value
DCBBANK,DCB Bank Limited,EQ,27-OCT-2006,10
DCMSHRIRAM,DCM Shriram Limited,EQ,12-APR-1995,2
DCMSRIND,DCM Shriram Industries Limited,EQ,24-DEC-2021,2
DCW,DCW Limited,EQ,25-MAY-1995,2
DECCANCE,Deccan Cements Limited,EQ,02-AUG-2007,5
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-JAN-2003,10
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-SEP-2010,2
DEEPINDS,Deep Industries Limited,EQ,27-APR-2021,5
DELHIVERY,Delhivery Limited,EQ,24-MAY-2022,1
DELTACORP,Delta Corp Limited,EQ,02-NOV-2007,1
DEN,Den Networks Limited,EQ,24-NOV-2009,10
DENORA,De Nora India Limited,EQ,07-AUG-1997,10
DEVYANI,Devyani International Limited,EQ,16-AUG-2021,1
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-MAR-1995,10
DHANUKA,Dhanuka Agritech Limited,EQ,29-JUN-2011,2
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-DEC-2022,10
DHUNINV,Dhunseri Investments Limited,EQ,18-MAR-2011,10
DIAMONDYD,Prataap Snacks Limited,EQ,05-OCT-2017,5
DISHTV,Dish TV India Limited,EQ,18-APR-2007,1
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-MAR-2023,5
DIVISLAB,Divi's Laboratories Limited,EQ,12-MAR-2003,2
DIXON,Dixon Technologies (India) Limited,EQ,18-SEP-2017,2
DLF,DLF Limited,EQ,05-JUL-2007,2
DLINKINDIA,D-Link (India) Limited,EQ,18-DEC-2009,2
DMART,Avenue Supermarts Limited,EQ,21-MAR-2017,10
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-DEC-2021,10
DODLA,Dodla Dairy Limited,EQ,28-JUN-2021,10
DOLATALGO,Dolat Algotech Limited,EQ,12-JAN-2024,1
DOLLAR,Dollar Industries Limited,EQ,21-APR-2017,2
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-NOV-2020,10
DPSCLTD,DPSC Limited,EQ,21-APR-2008,1
DPWIRES,D P Wires Limited,EQ,17-JAN-2020,10
DREAMFOLKS,Dreamfolks Services Limited,EQ,06-SEP-2022,2
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-MAY-2003,5
DSSL,Dynacons Systems & Solutions Limited,EQ,01-DEC-2011,10
DTIL,Dhunseri Tea & Industries Limited,EQ,20-JAN-2015,10
DVL,Dhunseri Ventures Limited,EQ,11-JAN-2008,10
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-DEC-2004,1
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-SEP-2006,10
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-MAR-2021,1
ECLERX,eClerx Services Limited,EQ,31-DEC-2007,10
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-DEC-2007,1
EICHERMOT,Eicher Motors Limited,EQ,07-SEP-2004,1
EIDPARRY,EID Parry India Limited,EQ,10-MAY-1995,1
EIFFL,Euro India Fresh Foods Limited,EQ,12-OCT-2021,10
