Trade_Date,Exchange,Sett Type,Scrip_Name,Order_Type,Qty,Mkt_Price,Mkt Value,Squp/Del,Brok_Amt,Net Amt,Product,Aggregated_Taxes
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,5,395.8,1979.0,D,14.84,-1998.89,Cash,5.050000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,395.8,1583.2,D,11.87,-1599.08,Cash,4.010000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,5,395.8,1979.0,D,14.84,-1998.89,Cash,5.050000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,395.8,1583.2,D,11.87,-1599.08,Cash,4.010000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,5,395.8,1979.0,D,14.84,-1998.89,Cash,5.050000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,395.8,1583.2,D,11.87,-1599.08,Cash,4.010000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,5,395.8,1979.0,D,14.84,-1998.89,Cash,5.050000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,3,395.8,1187.4,D,8.91,-1199.32,Cash,3.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,25,395.8,9895.0,D,74.21,-9994.35,Cash,25.140000000000004
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,2,395.85,791.7,D,5.94,-799.64,Cash,2.0
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,3,395.85,1187.55,D,8.91,-1199.47,Cash,3.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,3,395.85,1187.55,D,8.91,-1199.47,Cash,3.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,3,395.85,1187.55,D,8.91,-1199.47,Cash,3.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,3,395.9,1187.7,D,8.91,-1199.62,Cash,3.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,395.9,1583.6,D,11.88,-1599.49,Cash,4.010000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,4,395.95,1583.8,D,11.88,-1599.69,Cash,4.010000000000001
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,3,395.95,1187.85,D,8.91,-1199.77,Cash,3.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,6,395.95,2375.7,D,17.82,-2399.55,Cash,6.03
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,14,395.95,5543.3,D,41.57,-5598.96,Cash,14.09
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,7,396.0,2772.0,D,20.79,-2799.84,Cash,7.05
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,43,396.0,17028.0,D,127.71,-17198.97,Cash,43.26
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,32,395.55,12657.6,D,94.93,-12784.71,Cash,32.18
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,395.55,3955.5,D,29.67,-3995.22,Cash,10.049999999999999
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,1,395.6,395.6,D,2.97,-399.58,Cash,1.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,16,395.6,6329.6,D,47.47,-6393.16,Cash,16.09
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,16,395.65,6330.4,D,47.48,-6393.97,Cash,16.09
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,1,395.65,395.65,D,2.97,-399.63,Cash,1.01
15-Nov-22,NSE,N,KIRLOSKAR BROTHERS LTD,B,10,395.65,3956.5,D,29.67,-3996.22,Cash,10.049999999999999
