CompanyName,PrevSymbol,NewSymbol,Date
ICICI Prudential Mutual Fund-ICICI Prudential Nifty Infrastructure ETF,ICICIINFRA,INFRAIETF,20-12-2023
ICICI Prudential NV20 ETF,INV20,NV20IWIN,25-07-2016
ICICI Prudential NV20 ETF,NV20IWIN,ICICINV20,10-04-2018
ICICI Prudential Nifty 100 ETF,ICNX100,NIF100IWIN,25-07-2016
ICICI Prudential Nifty 100 ETF,NIF100IWIN,ICICINF100,10-04-2018
ICICI Prudential Nifty 100 ETF,ICCNX100,ICNX100,05-05-2014
ICICI Prudential Nifty 5 Yr Benchmark G-SEC ETF,ICICI5GSEC,GSEC5IETF,20-12-2023
ICICI Prudential Nifty Alpha Low Volatility 30 ETF,ICICIALPLV,ALPL30IETF,20-12-2023
ICICI Prudential Nifty ETF,INIFTY,NIFTYIWIN,25-07-2016
ICICI Prudential Nifty ETF,NIFTYIWIN,ICICINIFTY,10-04-2018
ICICI Prudential Nifty ETF,NIFETF,INIFTY,05-05-2014
ICICI Prudential Nifty India Consumption ETF,ICICICONSU,CONSUMIETF,20-12-2023
ICICI Prudential Nifty Low Vol 30 ETF,LOWVOLIWIN,ICICILOVOL,10-04-2018
ICICI Prudential Nifty Private Bank ETF - NIFTY PRIVATE BANK INDEX,ICICIBANKP,PVTBANIETF,20-12-2023
ICICI Prudential Sensex ETF,ISENSEX,SENSEXIWIN,25-07-2016
ICICI Prudential Sensex ETF,SPICE,ISENSEX,18-08-2014
ICICI Prudential Sensex ETF,SENSEXIWIN,ICICISENSX,10-04-2018
IDFC First Bank Limited,IDFCBANK,IDFCFIRSTB,16-01-2019
IG Petrochemicals Limited,IGPETRO,IGPL,29-01-2007
IIFL Capital Services Limited,IIFLSEC,IIFLCAPS,03-12-2024
IIFL Finance Limited,INDIAINFO,IIFL,13-03-2014
IL&FS Engineering and Construction Company Limited,MAYTASINFR,IL&FSENGG,08-02-2011
IL&FS Transportation Networks Limited,ILFSTRANS,IL&FSTRANS,16-04-2010
INCREDIBLE INDUSTRIES LIMITED,ADHUNIKIND,INCREDIBLE,20-05-2021
INEOS Styrolution India Limited,LANABS,INEABS,21-07-2008
INEOS Styrolution India Limited,INEABS,STYABS,20-06-2012
INEOS Styrolution India Limited,ABSIND,LANABS,14-06-2005
INEOS Styrolution India Limited,STYABS,INEOSSTYRO,04-04-2016
ING Vysya Bank Limited,VYSYABANK,INGVYSYABK,16-08-2005
IOL Netcom Limited,IOLB,IOLN,18-02-2008
ITD Cementation India Limited,TRAFALHSE,ITDCEM,16-08-2005
IVRCL Assets & Holdings Limited,IVRPRIME,IVRCLAH,13-04-2010
IZMO Limited,LOGIXMICRO,IZMO,15-05-2015
