,SYMBOL,Name of Company
1840,TORNTPHARM,Torrent Pharmaceuticals Limited
1841,TORNTPOWER,Torrent Power Limited
1842,TOTAL,Total Transport Systems Limited
1843,TOUCHWOOD,Touchwood Entertainment Limited
1844,TPHQ,Teamo Productions HQ Limited
1845,TPLPLASTEH,TPL Plastech Limited
1846,TRACXN,Tracxn Technologies Limited
1847,TREEHOUSE,Tree House Education & Accessories Limited
1848,TREJHARA,TREJHARA SOLUTIONS LIMITED
1849,TREL,Transindia Real Estate Limited
1850,TRENT,Trent Limited
1851,TRF,TRF Limited
1852,TRIDENT,Trident Limited
1853,TRIGYN,Trigyn Technologies Limited
1854,TRITURBINE,Triveni Turbine Limited
1855,TRIVENI,Triveni Engineering & Industries Limited
1856,TRU,TruCap Finance Limited
1857,TTKHLTCARE,TTK Healthcare Limited
1858,TTKPRESTIG,TTK Prestige Limited
1859,TTL,T T Limited
1860,TTML,Tata Teleservices (Maharashtra) Limited
1861,TV18BRDCST,TV18 Broadcast Limited
1862,TVSELECT,TVS Electronics Limited
1863,TVSHLTD,TVS Holdings Limited
1864,TVSMOTOR,TVS Motor Company Limited
1865,TVSSCS,TVS Supply Chain Solutions Limited
1866,TVSSRICHAK,TVS Srichakra Limited
1867,TVTODAY,TV Today Network Limited
1868,TVVISION,TV Vision Limited
1869,UBL,United Breweries Limited
1870,UCAL,UCAL LIMITED
1871,UCOBANK,UCO Bank
1872,UDAICEMENT,Udaipur Cement Works Limited
1873,UDS,Updater Services Limited
1874,UFLEX,UFLEX Limited
1875,UFO,UFO Moviez India Limited
1876,UGARSUGAR,The Ugar Sugar Works Limited
1877,UGROCAP,Ugro Capital Limited
1878,UJJIVANSFB,Ujjivan Small Finance Bank Limited
1879,ULTRACEMCO,UltraTech Cement Limited
1880,UMAEXPORTS,Uma Exports Limited
1881,UMANGDAIRY,Umang Dairies Limited
1882,UMESLTD,Usha Martin Education & Solutions Limited
1883,UNICHEMLAB,Unichem Laboratories Limited
1884,UNIDT,United Drilling Tools Limited
1885,UNIECOM,Unicommerce Esolutions Limited
1886,UNIENTER,Uniphos Enterprises Limited
1887,UNIINFO,Uniinfo Telecom Services Limited
1888,UNIONBANK,Union Bank of India
1889,UNIPARTS,Uniparts India Limited
1890,UNITDSPR,United Spirits Limited
1891,UNITECH,Unitech Limited
1892,UNITEDPOLY,United Polyfab Gujarat Limited
1893,UNITEDTEA,The United Nilgiri Tea Estates Company Limited
1894,UNIVASTU,Univastu India Limited
1895,UNIVCABLES,Universal Cables Limited
1896,UNIVPHOTO,Universus Photo Imagings Limited
1897,UNOMINDA,UNO Minda Limited
1898,UPL,UPL Limited
1899,URAVI,Uravi T and Wedge Lamps Limited
1900,URJA,Urja Global Limited
1901,USHAMART,Usha Martin Limited
1902,USK,Udayshivakumar Infra Limited
1903,UTIAMC,UTI Asset Management Company Limited
1904,UTKARSHBNK,Utkarsh Small Finance Bank Limited
1905,UTTAMSUGAR,Uttam Sugar Mills Limited
1906,V2RETAIL,V2 Retail Limited
1907,VADILALIND,Vadilal Industries Limited
1908,VAIBHAVGBL,Vaibhav Global Limited
1909,VAISHALI,Vaishali Pharma Limited
1910,VAKRANGEE,Vakrangee Limited
1911,VALIANTLAB,Valiant Laboratories Limited
1912,VALIANTORG,Valiant Organics Limited
1913,VARDHACRLC,Vardhman Acrylics Limited
1914,VARDM-RE,Vardhman Polytex Ltd-RE
1915,VARDMNPOLY,Vardhman Polytex Limited
1916,VARROC,Varroc Engineering Limited
1917,VASCONEQ,Vascon Engineers Limited
1918,VASWANI,Vaswani Industries Limited
1919,VBL,Varun Beverages Limited
1920,VCL,Vaxtex Cotfab Limited
1921,VEDL,Vedanta Limited
1922,VENKEYS,Venky's (India) Limited
1923,VENUSPIPES,Venus Pipes & Tubes Limited
1924,VENUSREM,Venus Remedies Limited
1925,VERANDA,Veranda Learning Solutions Limited
1926,VERTOZ,Vertoz Limited
1927,VESUVIUS,Vesuvius India Limited
1928,VETO,Veto Switchgears And Cables Limited
1929,VGUARD,V-Guard Industries Limited
1930,VHL,Vardhman Holdings Limited
1931,VHLTD,Viceroy Hotels Limited
1932,VIDHIING,Vidhi Specialty Food Ingredients Limited
1933,VIJAYA,Vijaya Diagnostic Centre Limited
1934,VIJIFIN,Viji Finance Limited
1935,VIKASECO,Vikas EcoTech Limited
1936,VIKASLIFE,Vikas Lifecare Limited
1937,VIMTALABS,Vimta Labs Limited
1938,VINATIORGA,Vinati Organics Limited
1939,VINDHYATEL,Vindhya Telelinks Limited
1940,VINEETLAB,Vineet Laboratories Limited
1941,VINNY,Vinny Overseas Limited
1942,VINYLINDIA,Vinyl Chemicals (India) Limited
1943,VIPCLOTHNG,VIP Clothing Limited
1944,VIPIND,VIP Industries Limited
1945,VIPULLTD,Vipul Limited
1946,VIRINCHI,Virinchi Limited
1947,VISAKAIND,Visaka Industries Limited
1948,VISHNU,Vishnu Chemicals Limited
1949,VISHWARAJ,Vishwaraj Sugar Industries Limited
1950,VIVIDHA,Visagar Polytex Limited
1951,VLEGOV,VL E-Governance & IT Solutions Limited
1952,VLSFINANCE,VLS Finance Limited
1953,VMART,V-Mart Retail Limited
1954,VOLTAMP,Voltamp Transformers Limited
1955,VOLTAS,Voltas Limited
1956,VPRPL,Vishnu Prakash R Punglia Limited
1957,VRAJ,Vraj Iron and Steel Limited
1958,VRLLOG,VRL Logistics Limited
1959,VSSL,Vardhman Special Steels Limited
1960,VSTIND,VST Industries Limited
1961,VSTL,Vibhor Steel Tubes Limited
1962,VSTTILLERS,V.S.T Tillers Tractors Limited
1963,VTL,Vardhman Textiles Limited
1964,WABAG,VA Tech Wabag Limited
1965,WALCHANNAG,Walchandnagar Industries Limited
1966,WANBURY,Wanbury Limited
1967,WAAREEENER,Waaree Energies Limited
1968,WCIL,Western Carriers (India) Limited
1969,WEALTH,Wealth First Portfolio Managers Limited
1970,WEBELSOLAR,Websol Energy System Limited
1971,WEIZMANIND,Weizmann Limited
1972,WEL,Wonder Electricals Limited
1973,WELCORP,Welspun Corp Limited
1974,WELENT,Welspun Enterprises Limited
1975,WELINV,Welspun Investments and Commercials Limited
1976,WELSPUNLIV,Welspun Living Limited
1977,WENDT,Wendt (India) Limited
1978,WESTLIFE,WESTLIFE FOODWORLD LIMITED
1979,WEWIN,WE WIN LIMITED
1980,WHEELS,Wheels India Limited
1981,WHIRLPOOL,Whirlpool of India Limited
1982,WILLAMAGOR,Williamson Magor & Company Limited
1983,WINDLAS,Windlas Biotech Limited
1984,WINDMACHIN,Windsor Machines Limited
1985,WINSOME,Winsome Yarns Limited
1986,WIPL,The Western India Plywoods Limited
1987,WIPRO,Wipro Limited
1988,WOCKPHARMA,Wockhardt Limited
1989,WONDERLA,Wonderla Holidays Limited
1990,WORTH,Worth Peripherals Limited
1991,WSI,W S Industries (I) Limited
1992,WSTCSTPAPR,West Coast Paper Mills Limited
1993,XCHANGING,Xchanging Solutions Limited
1994,XELPMOC,Xelpmoc Design And Tech Limited
1995,XPROINDIA,Xpro India Limited
1996,XTGLOBAL,Xtglobal Infotech Limited
1997,YAARI,Yaari Digital Integrated Services Limited
1998,YASHO,Yasho Industries Limited
1999,YATHARTH,Yatharth Hospital & Trauma Care Services Limited
2000,YATRA,Yatra Online Limited
2001,YESBANK,Yes Bank Limited
2002,YUKEN,Yuken India Limited
2003,ZAGGLE,Zaggle Prepaid Ocean Services Limited
2004,ZEEL,Zee Entertainment Enterprises Limited
2005,ZEELEARN,Zee Learn Limited
2006,ZEEMEDIA,Zee Media Corporation Limited
2007,ZENITHEXPO,Zenith Exports Limited
2008,ZENITHSTL,Zenith Steel Pipes & Industries Limited
2009,ZENSARTECH,Zensar Technologies Limited
2010,ZENTEC,Zen Technologies Limited
2011,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited
2012,ZIMLAB,Zim Laboratories Limited
2013,ZODIAC,Zodiac Energy Limited
2014,ZODIACLOTH,Zodiac Clothing Company Limited
2015,ZOMATO,Zomato Limited
2016,ZOTA,Zota Health Care LImited
2017,ZUARI,Zuari Agro Chemicals Limited
2018,ZUARIIND,ZUARI INDUSTRIES LIMITED
2019,ZYDUSLIFE,Zydus Lifesciences Limited
2020,ZYDUSWELL,Zydus Wellness Limited
