,SYMBOL,Name of Company
269,BINANIIND,Binani Industries Limited
270,BIOCON,Biocon Limited
271,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited
272,BIRLACABLE,Birla Cable Limited
273,BIRLACORPN,Birla Corporation Limited
274,BIRLAMONEY,Aditya Birla Money Limited
275,BLAL,BEML Land Assets Limited
276,BLBLIMITED,BLB Limited
277,BLISSGVS,Bliss GVS Pharma Limited
278,BLKASHYAP,B. L. Kashyap and Sons Limited
279,BLS,BLS International Services Limited
280,BLSE,BLS E-Services Limited
281,BLUECHIP,Blue Chip India Limited
282,BLUEDART,Blue Dart Express Limited
283,BLUEJET,Blue Jet Healthcare Limited
284,BLUESTARCO,Blue Star Limited
285,BODALCHEM,Bodal Chemicals Limited
286,BOMDYEING,Bombay Dyeing & Mfg Company Limited
287,BOROLTD,Borosil Limited
288,BORORENEW,BOROSIL RENEWABLES LIMITED
289,BOROSCI,Borosil Scientific Limited
290,BOSCHLTD,Bosch Limited
291,BPCL,Bharat Petroleum Corporation Limited
292,BPL,BPL Limited
293,BRIGADE,Brigade Enterprises Limited
294,BRITANNIA,Britannia Industries Limited
295,BRNL,Bharat Road Network Limited
296,BROOKS,Brooks Laboratories Limited
297,BSE,BSE Limited
298,BSHSL,Bombay Super Hybrid Seeds Limited
299,BSL,BSL Limited
300,BSOFT,BIRLASOFT LIMITED
301,BTML,Bodhi Tree Multimedia Limited
302,BURNPUR,Burnpur Cement Limited
303,BUTTERFLY,Butterfly Gandhimathi Appliances Limited
304,BVCL,Barak Valley Cements Limited
305,BYKE,The Byke Hospitality Ltd
306,CALSOFT,California Software Company Limited
307,CAMLINFINE,Camlin Fine Sciences Limited
308,CAMPUS,Campus Activewear Limited
309,CAMS,Computer Age Management Services Limited
310,CANBK,Canara Bank
311,CANFINHOME,Can Fin Homes Limited
312,CANTABIL,Cantabil Retail India Limited
313,CAPACITE,Capacit'e Infraprojects Limited
314,CAPITALSFB,Capital Small Finance Bank Limited
315,CAPLIPOINT,Caplin Point Laboratories Limited
316,CAPTRUST,Capital Trust Limited
317,CARBORUNIV,Carborundum Universal Limited
318,CAREERP,Career Point Limited
319,CARERATING,CARE Ratings Limited
320,CARTRADE,Cartrade Tech Limited
321,CARYSIL,CARYSIL LIMITED
322,CASTROLIND,Castrol India Limited
323,CCCL,Consolidated Construction Consortium Limited
324,CCHHL,Country Club Hospitality & Holidays Limited
325,CCL,CCL Products (India) Limited
326,CDSL,Central Depository Services (India) Limited
327,CEATLTD,CEAT Limited
328,CEIGALL,Ceigall India Limited
329,CELEBRITY,Celebrity Fashions Limited
330,CELLO,Cello World Limited
331,CENTENKA,Century Enka Limited
332,CENTEXT,Century Extrusions Limited
333,CENTRALBK,Central Bank of India
334,CENTRUM,Centrum Capital Limited
335,CENTUM,Centum Electronics Limited
336,CENTURYPLY,Century Plyboards (India) Limited
337,CENTURYTEX,Century Textiles & Industries Limited
338,CERA,Cera Sanitaryware Limited
339,CEREBRAINT,Cerebra Integrated Technologies Limited
340,CESC,CESC Limited
341,CGCL,Capri Global Capital Limited
342,CGPOWER,CG Power and Industrial Solutions Limited
343,CHALET,Chalet Hotels Limited
344,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
345,CHEMBOND,Chembond Chemicals Ltd
346,CHEMCON,Chemcon Speciality Chemicals Limited
347,CHEMFAB,Chemfab Alkalis Limited
348,CHEMPLASTS,Chemplast Sanmar Limited
349,CHENNPETRO,Chennai Petroleum Corporation Limited
350,CHEVIOT,Cheviot Company Limited
351,CHOICEIN,Choice International Limited
352,CHOLAFIN,Cholamandalam Investment and Finance Company Limited
353,CHOLAHLDNG,Cholamandalam Financial Holdings Limited
354,CIEINDIA,CIE Automotive India Limited
355,CIGNITITEC,Cigniti Technologies Limited
356,CINELINE,Cineline India Limited
357,CINEVISTA,Cinevista Limited
358,CIPLA,Cipla Limited
359,CLEAN,Clean Science and Technology Limited
360,CLEDUCATE,CL Educate Limited
361,CLSEL,Chaman Lal Setia Exports Limited
362,CMSINFO,CMS Info Systems Limited
363,COALINDIA,Coal India Limited
364,COASTCORP,Coastal Corporation Limited
365,COCHINSHIP,Cochin Shipyard Limited
366,COFFEEDAY,Coffee Day Enterprises Limited
367,COFORGE,Coforge Limited
368,COLPAL,Colgate Palmolive (India) Limited
369,COMPUSOFT,Compucom Software Limited
370,COMSYN,Commercial Syn Bags Limited
371,CONCOR,Container Corporation of India Limited
372,CONCORDBIO,Concord Biotech Limited
373,CONFIPET,Confidence Petroleum India Limited
374,CONSOFINVT,Consolidated Finvest & Holdings Limited
375,CONTROLPR,Control Print Limited
376,CORALFINAC,Coral India Finance & Housing Limited
377,CORDSCABLE,Cords Cable Industries Limited
378,COROMANDEL,Coromandel International Limited
379,COSMOFIRST,COSMO FIRST LIMITED
380,COUNCODOS,Country Condo's Limited
381,CRAFTSMAN,Craftsman Automation Limited
382,CREATIVE,Creative Newtech Limited
383,CREATIVEYE,Creative Eye Limited
384,CREDITACC,CREDITACCESS GRAMEEN LIMITED
385,CREST,Crest Ventures Limited
386,CRISIL,CRISIL Limited
387,CROMPTON,Crompton Greaves Consumer Electricals Limited
388,CROWN,Crown Lifters Limited
389,CSBBANK,CSB Bank Limited
390,CSLFINANCE,CSL Finance Limited
391,CTE,Cambridge Technology Enterprises Limited
392,CUB,City Union Bank Limited
393,CUBEXTUB,Cubex Tubings Limited
394,CUMMINSIND,Cummins India Limited
395,CUPID,Cupid Limited
396,CYBERMEDIA,Cyber Media (India) Limited
397,CYBERTECH,Cybertech Systems And Software Limited
398,CYIENT,Cyient Limited
399,CYIENTDLM,Cyient DLM Limited
400,DABUR,Dabur India Limited
401,DALBHARAT,Dalmia Bharat Limited
402,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
403,DAMODARIND,Damodar Industries Limited
404,DANGEE,Dangee Dums Limited
405,DATAMATICS,Datamatics Global Services Limited
406,DATAPATTNS,Data Patterns (India) Limited
